#IXO 3.2 m diameter 20 m focal length prescription file,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#"P Reid June 7, 2008",,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#"Use Shells 73-172 (outer module); 185-302 (middle module), and 321-461 (inner module).",,,,,,,,,,,,,,,,,
#"Outer module also missing shells 85, 99, 113,...,169 (left off for weight savings)",,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#Prescription forms:,,,,,,,,,,,,,,,,,
#,primary - ,r^2 = (d+a+z)^2 - (a+z)^2,,,,,,,,,,,,,,,
#,secondary - ,r^2 = e^2 * (d+z)^2 - z^2,,,,,,,,,,,,,,,
## Note: For the primary, r = r(z), and z runs from 20025 to 20225.  Then
##  r_int = r(20025) 
##  r_aft = r(20225)
#,,,,,,,,,,,,,,,,,
#,"where z=axial direction, z= 0 at nominal on-axis focus, P runs from Z = 20025 mm to 20225 mm,
## and S runs from Z = 19975 mm to 19775 mm",,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
shell,r_int (mm),r_aft (mm),r_for (mm),alpha (rad),graze (rad),d (mm),e,a (mm),ca (cm^2),graze (rad),rh forward,rh aft,Weight (kg),h graze (rad)
73,1605.008425,1605.508906,1609.507155,0.020019702,0.019988581,32.136084353,1.001605513,20064.2979454709,403.834890410153,0.019988581,1603.505061,1591.472458,4.043628,0.060090585
74,1600.016362,1600.515293,1604.501155,0.019957700,0.019926674,31.936886357,1.001595569,20063.8992311614,401.331688724948,0.019926674,1598.517665,1586.522417,4.031051,0.059904480
75,1595.036977,1595.534362,1599.507869,0.019895852,0.019864922,31.738807545,1.001585681,20063.5027589707,398.842551129836,0.019864922,1593.542936,1581.584949,4.018506,0.059718840
76,1590.070239,1590.566080,1594.527263,0.019834159,0.019803325,31.541841983,1.001575848,20063.1085169853,396.367403105164,0.019803325,1588.580841,1576.660021,4.005993,0.059533664
77,1585.116113,1585.610416,1589.559305,0.019772620,0.019741881,31.345983769,1.001566071,20062.7164933515,393.906170431011,0.019741881,1583.631348,1571.747601,3.993511,0.059348951
78,1580.174568,1580.667336,1584.603963,0.019711235,0.019680591,31.151227029,1.001556348,20062.3266762898,391.458779336812,0.019680591,1578.694423,1566.847656,3.981062,0.059164701
79,1575.245571,1575.736808,1579.661202,0.019650004,0.019619454,30.957565923,1.001546680,20061.9390540774,389.025156411469,0.019619454,1573.770034,1561.960155,3.968644,0.058980910
80,1570.329089,1570.818799,1574.730992,0.019588925,0.019558471,30.764994637,1.001537067,20061.5536150415,386.605228611048,0.019558471,1568.858150,1557.085063,3.956257,0.058797580
81,1565.425091,1565.913277,1569.813299,0.019528000,0.019497639,30.573507392,1.001527507,20061.1703475849,384.198923288446,0.019497639,1563.958736,1552.222351,3.943902,0.058614708
82,1560.533543,1561.020209,1564.908091,0.019467227,0.019436960,30.383098434,1.001518001,20060.7892401656,381.806168156164,0.019436960,1559.071762,1547.371985,3.931579,0.058432293
83,1555.654413,1556.139564,1560.015335,0.019406605,0.019376433,30.193762042,1.001508549,20060.4102812964,379.426891323664,0.019376433,1554.197195,1542.533934,3.919286,0.058250335
84,1550.787670,1551.271309,1555.135001,0.019346136,0.019316057,30.005492524,1.001499149,20060.0334595553,377.061021252431,0.019316057,1549.335003,1537.708165,3.907025,0.058068831
85,1545.933282,1546.415412,1550.267054,0.019285818,0.019255832,29.818284217,1.001489803,20059.6587635797,374.708486786022,0.019255832,1544.485154,1532.894648,3.894795,0.057887782
86,1541.091215,1541.571841,1545.411464,0.019225650,0.019195758,29.632131487,1.001480509,20059.2861820658,372.369217119884,0.019195758,1539.647615,1528.093350,3.882596,0.057707185
87,1536.261440,1536.740564,1540.568198,0.019165633,0.019135834,29.447028730,1.001471268,20058.9157037668,370.043141846577,0.019135834,1534.822356,1523.304239,3.870428,0.057527040
88,1531.443923,1531.921550,1535.737225,0.019105766,0.019076060,29.262970371,1.001462078,20058.5473174909,367.730190880705,0.019076060,1530.009344,1518.527285,3.858291,0.057347346
89,1526.638633,1527.114767,1530.918513,0.019046049,0.019016435,29.079950864,1.001452940,20058.1810121107,365.430294533838,0.019016435,1525.208548,1513.762456,3.846184,0.057168101
90,1521.845538,1522.320183,1526.112029,0.018986482,0.018956959,28.897964690,1.001443854,20057.8167765579,363.143383477043,0.018956959,1520.419936,1509.009719,3.834109,0.056989305
91,1517.064608,1517.537767,1521.317743,0.018927063,0.018897633,28.717006360,1.001434819,20057.4545998111,360.869388725964,0.018897633,1515.643476,1504.269046,3.822064,0.056810956
92,1512.295810,1512.767487,1516.535623,0.018867793,0.018838455,28.537070415,1.001425836,20057.094470918,358.608241670812,0.018838455,1510.879138,1499.540403,3.810049,0.056633053
93,1507.539113,1508.009312,1511.765638,0.018808671,0.018779424,28.358151421,1.001416902,20056.7363789827,356.359874008762,0.018779424,1506.126890,1494.823760,3.798065,0.056455595
94,1502.794486,1503.263210,1507.007756,0.018749697,0.018720542,28.180243974,1.001408020,20056.3803131566,354.124217878981,0.018720542,1501.386700,1490.119085,3.786112,0.056278581
95,1498.061897,1498.529151,1502.261945,0.018690871,0.018661807,28.003342697,1.001399187,20056.026262656,351.901205675377,0.018661807,1496.658538,1485.426349,3.774188,0.056102010
